scenario,load_zone,timepoint,subplot,label
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030060124,3,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070101,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070102,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070103,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070104,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070105,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070106,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070107,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070108,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070109,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070110,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070111,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070112,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070113,4,VRE & ST (mid)
VREmid_STmid_CONVmid_BPHS_NuclearPVboth_45Ret_PRM110-3_2030_12-capex-MP,Madhya_Pradesh,2030070114,4,VRE & ST (mid)
